estados,if,while,for,switch,int,char,bool,;,=,and,or,xor,not,(,),+,-,*,/,<,>,<=,>=,!=,==,{,},else,case,break,num,id,char,:,read,printf,"""",lambda,$,<program>,<inst>,<declaration>,<declaration2>,<atrib>,<atrib2>,<tipo>,<expr>,<binaria>,<unaria>,<unaria_term>,<termo>,<op>,<op_log>,<op_rel>,<op_arit>,<if>,<else>,<switch>,<case-loop>,<case>,<case2>,<for>,<attr_for>,<while>,<print>,<print2>,<read>
0,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,E15,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
3,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
4,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
5,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
6,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
7,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
8,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
9,E10,E11,E12,E13,E18,E19,E20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E16,E17,,,,,,6,,7,,14,,,,,,,,,,2,,5,,,,4,,3,9,,8
10,,,,,,,,,,,,,,E29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,E30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,E31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,E32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,E34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,E35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,E36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,,R2,,,,,,,,,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,,,R3,,,,,,,,,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,R4,,,R4,,,,,,,,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,R5,,,R5,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,,,R6,,,,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,,,R7,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,R8,,,R8,,,,,,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,,,R9,,,,,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,37,38,39,,40,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,E42,E43,,,E41,,,,,,,,,,,,,,E45,E44,,,,,,,,,,,,,,,46,38,39,,40,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,E51,E52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E55,E54,,,,,,,,,,,,,53,,56,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,E57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,E59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,R21,,,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,R22,,,,,,,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,E65,E66,E64,,,,E73,E74,E76,E75,E67,E68,E69,E70,E72,E71,,,,,,,,,,,,,,,,,,,,,,,,,,,60,63,61,62,,,,,,,,,,,,
